,Date,Receipt ID,Item,Department,Category,Fineline,Brand,Quantity,Total Sales,Price per Quantity,Customer Account,Gender,Age,Day
395,2008-07-27,298-01269,PELIKAN ERASSER BR80 (PC),STATIONERY,SCHOOL STATIONERY,SCHOOL SUPPLIES,PELIKAN,1.0,17.0,17,CD-207673,Female,40 -50,Sunday
396,2008-07-26,298-01054,TES NON WOOVEN PRINTED B/S,WRAPPING MATERIAL,POLYTHENE BAGS,POLYTHENE BAGS -1,TES,1.0,50.0,50,CD-697506,Male,62 -72,Saturday
397,2008-07-27,298-01192,ARIEL DETERGENT 500GM,LAUNDRY,DETERGENTS,HANDWASH DETERGENTS,ARIEL,2.0,198.0,99,CD-667934,Male,51 -61,Sunday
398,2008-07-25,298-00921,M/HARVEST CORNFLAKES 250G BAG,BREAKFAST,BREAKFAST CEREALS,FLAKES,M/HARVEST,1.0,169.0,169,CD-233613,Male,29 -39,Friday
399,2008-07-27,298-01352,KABRAS PACKED SUGAR 1KG,SUGAR,WHITE SUGAR,WHITE SUGAR-1,KABRAS,1.0,99.0,99,CD-822794,Male,29 -39,Sunday
400,2008-07-27,298-01222,BELLA WHITE T/PAPER 10PACK,PAPER + PLASTICS,TISSUE PAPERS,BLENDED,BELLA,1.0,199.0,199,CD-200010,Female,18 -28,Sunday
401,2008-07-27,298-01288,GOFRUT APPLE JUICE 1L,COLD BEVERAGE,JUICE,SYRUP/CONCENTRATE JUICE,GOFRUT,1.0,100.0,100,CD-084855,Female,18 -28,Sunday
402,2008-07-27,298-01290,CADBURY DAIRY MILK OREO 95G,CONFECTIONERY,CHOCOLATE,BARS,CADBURY,1.0,175.0,175,CD-145536,Female,40 -50,Sunday
403,2008-07-25,298-01006,FAHARI YA KENYA TEA 250GM,HOT BEVERAGE,TEA,LOOSE TEA,FAHARI,1.0,127.0,127,CD-109777,Male,29 -39,Friday
404,2008-07-27,298-01194,MAGIC WAND FRUIT YGHT TOFFEES,CONFECTIONERY,CHEWY AND HARD,TOFFEE,MAGIC,1.0,6.0,6,CD-440329,Male,29 -39,Sunday
