,Date,Receipt ID,Item,Department,Category,Fineline,Brand,Quantity,Total Sales,Price per Quantity,Customer Account,Gender,Age,Day
0,2008-07-27,298-01142,SOKO MAIZE MEAL 5KG,FLOUR,MAIZE FLOUR,STANDARD MAIZE FLOUR,SOKO,1.0,253.0,253,CD-966516,Female,18 -28,Sunday
1,2008-07-27,298-01204,BELLA WHITE T/PAPER 10PACK,PAPER + PLASTICS,TISSUE PAPERS,BLENDED,BELLA,1.0,199.0,199,CD-169085,Female,29 -39,Sunday
2,2008-07-26,298-01015,BELLA WHITE T/PAPER 4 PACK,PAPER + PLASTICS,TISSUE PAPERS,BLENDED,BELLA,3.0,207.0,69,CD-822352,Female,40 -50,Saturday
3,2008-07-27,298-01269,KENPOLY MUG 330,KITCHEN AND DINING,TABLEWARES,DRINKWARES,KENPOLY,1.0,32.0,32,CD-207673,Female,40 -50,Sunday
4,2008-07-21,298-00091,BELLA WHITE T/PAPER 4 PACK,PAPER + PLASTICS,TISSUE PAPERS,BLENDED,BELLA,2.0,138.0,69,CD-936825,Male,29 -39,Monday
5,2008-07-21,298-00112,EXE ALL PURPOSE FLOUR 2KG,FLOUR,WHEAT FLOUR,WHITE WHEAT FLOUR,EXE,1.0,136.0,136,CD-452634,Female,40 -50,Monday
6,2008-07-27,298-01203,TS MANDAZI 70G,TES BAKERY,TES MANDAZI,TES MANDAZI BITES,TS,6.0,60.0,10,CD-846731,Female,29 -39,Sunday
7,2008-07-25,298-00985,BLUE BAND MEDIUM FAT 500G,BREAKFAST,SPREADS,MARGARINE,BLUE,1.0,220.0,220,CD-769251,Male,29 -39,Friday
8,2008-07-27,298-01159,MANGOES APPLE (KG),FRUITS + VEG,FRUITS,LOCAL FRUITS,MANGOES,8.08080808,800.0,99,CD-283458,Female,29 -39,Sunday
9,2008-07-27,298-01324,TES NON WOOVEN PRINTED B/S,WRAPPING MATERIAL,POLYTHENE BAGS,POLYTHENE BAGS -1,TES,1.0,50.0,50,CD-095693,Male,18 -28,Sunday
10,2008-07-27,298-01263,NIVEA SMOOTH SENSATION TUB 400ML,BEAUTY,BODY CARE,SKIN LOTIONS,NIVEA,1.0,460.0,460,CD-336228,Female,40 -50,Sunday
11,2008-07-27,298-01288,TIL RED GLASS 200ML 25 S,PARTY,PARTY ACCESSORIES,DRINKWARES-PARTY,TIL,1.0,50.0,50,CD-084855,Female,18 -28,Sunday
12,2008-07-27,298-01356,KENYLON BEANS IN T/SAUCE 300GM,"CANNED , TINNED + PACKAGED FOOD",CANNED VEGETABLES,CANNED BEANS+PEAS,KENYLON,2.0,182.0,91,CD-254997,Male,51 -61,Sunday
13,2008-07-26,298-01037,SUPERFINE NEON PENCIL ASRTD/C HB,STATIONERY,SCHOOL STATIONERY,ART + CRAFT,SUPERFINE,3.0,51.0,17,CD-690239,Male,18 -28,Saturday
14,2008-07-26,298-01081,TERERE BUNCH,FRUITS + VEG,VEGETABLES,LEAFY GREENS,TERERE,2.0,60.0,30,CD-367110,Female,18 -28,Saturday
15,2008-07-21,298-00105,VIM POWDER LAVENDER FRESH 500G,HOME CLEANING,ALL PURPOSE CLEANERS,SCOURING POWDERS,VIM,2.0,170.0,85,CD-431135,Male,73 -83,Monday
16,2008-07-27,298-01334,MILLBAKERS FAMILY MADEIRA 750M,CONFECTIONARY,CAKES,MARBLE CAKES,MILLBAKERS,1.0,174.0,174,CD-028669,Female,18 -28,Sunday
17,2008-07-27,298-01232,COLGATE DENTAL CREAM 35G,PERSONAL CARE,ORAL CARE,TOOTH PASTE,COLGATE,1.0,54.0,54,CD-694608,Female,40 -50,Sunday
18,2008-07-21,298-00106,SOKO MAIZE MEAL 2KG,FLOUR,MAIZE FLOUR,STANDARD MAIZE FLOUR,SOKO,2.0,178.0,89,CD-140098,Male,18 -28,Monday
19,2008-07-25,298-00983,PROTEX GENTLE SOAP 150G,PERSONAL CARE,PERSONAL WASH,ANTIBACTERIA SOAPS,PROTEX,1.0,149.0,149,CD-252130,Male,18 -28,Friday
20,2008-07-25,298-00911,INDOMIE NOODLE VEG 5IN1 75G,PASTA + NOODLES,NOODLES,WHEAT NOODLES,INDOMIE,1.0,150.0,150,CD-028669,Female,18 -28,Friday
21,2008-07-25,298-00905,CADBURY COCOA 90GM JAR,HOT BEVERAGE,OTHER HOT BEVERAGE,COCOA,CADBURY,1.0,169.0,169,CD-078399,Female,18 -28,Friday
22,2008-07-27,298-01356,FESTIVE WHOLEMEAL BREAD 400GM,CONFECTIONARY,BREAD,BREAD ROLLS,FESTIVE,1.0,50.0,50,CD-254997,Male,51 -61,Sunday
23,2008-07-27,298-01225,MT.KENYA UHT MILK 500ML POUCH,DAIRY,LONGLIFE MILK,PLAIN,MT.KENYA,1.0,39.0,39,CD-236299,Female,29 -39,Sunday
24,2008-07-27,298-01194,DOSE PASSION&WATERMELON JUICE 500ML,TES DELI + COFFEE SHOP,BEVERAGE,TES COLD BEVERAGE,DOSE,1.0,173.0,173,CD-440329,Male,29 -39,Sunday
25,2008-07-25,298-00981,NIVEA B/ESSE C/BUTTER MILK 200ML,BEAUTY,BODY CARE,SKIN LOTIONS,NIVEA,1.0,165.0,165,CD-097291,Male,29 -39,Friday
26,2008-07-27,298-01126,SANTA LUCIA SPAGHETTI 400G,PASTA + NOODLES,PASTA,LONG PASTA,SANTA,1.0,109.0,109,CD-431611,Female,29 -39,Sunday
27,2008-07-27,298-01221,DELAMERE STRAW/YOGHURT 500ML,DAIRY,YOGHURT,BASIC,DELAMERE,1.0,97.0,97,CD-044837,Female,40 -50,Sunday
28,2008-07-26,298-01083,EXCEL PREM DRINKING WATER 1.5L,COLD BEVERAGE,WATER,PURIFIED DRINKING WATER,EXCEL,1.0,65.0,65,CD-296622,Male,40 -50,Saturday
29,2008-07-27,298-01357,ACE T/C POWERMAX 500ML,HOME CLEANING,TOILET + SEPTIC CARE,LIQUID TOILET CLEANERS,ACE,1.0,160.0,200,CD-814593,Male,18 -28,Sunday
30,2008-07-25,298-00919,DELAMERE LEMON BISC. F/YGHT 250ML C,DAIRY,YOGHURT,PREMIUM,DELAMERE,1.0,67.0,67,CD-382878,Female,18 -28,Friday
31,2008-07-26,298-01054,APPLES ASSORTED 6PC,FRUITS + VEG,FRUITS,IMPORTED FRUIT,APPLES,1.0,220.0,220,CD-697506,Male,62 -72,Saturday
32,2008-07-26,298-01081,SPINACH BUNCH,FRUITS + VEG,VEGETABLES,LEAFY GREENS,SPINACH,2.0,60.0,30,CD-367110,Female,18 -28,Saturday
33,2008-07-27,298-01222,FARMTES LOCAL SUGAR 2KG,SUGAR,WHITE SUGAR,WHITE SUGAR-1,FARMTES,2.0,396.0,198,CD-200010,Female,18 -28,Sunday
34,2008-07-25,298-01006,PEMBE MAIZE MEAL 2KG,FLOUR,MAIZE FLOUR,STANDARD MAIZE FLOUR,PEMBE,2.0,212.0,106,CD-109777,Male,29 -39,Friday
35,2008-07-25,298-00911,INDOMIE INSTANT NOODLES 5PC,PASTA + NOODLES,NOODLES,WHEAT NOODLES,INDOMIE,1.0,98.0,98,CD-028669,Female,18 -28,Friday
36,2008-07-25,298-00983,HANNAN P/SERVIETTES V/PACK,PAPER + PLASTICS,PAPER TOWELS + NAPKINS,SERVIETTES,HANNAN,1.0,99.0,151,CD-252130,Male,18 -28,Friday
37,2008-07-27,298-01317,HANNAN WHITE T/PAPER 4PACK,PAPER + PLASTICS,TISSUE PAPERS,VIRGIN,HANNAN,1.0,136.0,148,CD-667740,Female,40 -50,Sunday
38,2008-07-27,298-01318,SUPABRITE S/PAD STD 1PACK  111,HOME CLEANING,SCRUBBERS + SPONGES,SCOURING PADS,SUPABRITE,2.0,64.0,32,CD-063469,Male,29 -39,Sunday
39,2008-07-27,298-01222,N&L ALOE VERA HERBAL LTN 400ML,BEAUTY,BODY CARE,SKIN LOTIONS,N&L,1.0,132.0,165,CD-200010,Female,18 -28,Sunday
40,2008-07-27,298-01288,FLOWER TRIGGER SPRAYER 500ML.,FARM + GARDEN SUPPLIES,GARDEN,GARDEN SPRAYERS,FLOWER,1.0,180.0,180,CD-084855,Female,18 -28,Sunday
41,2008-07-27,298-01225,KARTASI GRAPH BOOK MAN A4 96P,STATIONERY,SCHOOL STATIONERY,"GRAPH,EXERCISE + COUNTER BOOKS",KARTASI,1.0,61.0,61,CD-236299,Female,29 -39,Sunday
42,2008-07-25,298-00977,GNOMIS FRIED PEANUT 100G,SNACKS,NUTS,CLEAR PACK NUTS,GNOMIS,1.0,58.0,58,CD-788122,Female,18 -28,Friday
43,2008-07-27,298-01263,EXE SELF RAISING 2KG,FLOUR,WHEAT FLOUR,SELF RAISING WHEAT FLOUR,EXE,1.0,145.0,145,CD-336228,Female,40 -50,Sunday
44,2008-07-27,298-01292,TES NON WOOVEN STITCHED,WRAPPING MATERIAL,NON WOVEN BAGS,NON WOVEN BAGS -1,TES,1.0,75.0,75,CD-33322,Male,29 -39,Sunday
45,2008-07-26,298-01033,VEDA SCRAP BOOK 250MM*350MM,STATIONERY,SCHOOL STATIONERY,ART + CRAFT,VEDA,1.0,165.0,165,CD-203882,Female,40 -50,Saturday
46,2008-07-25,298-00919,TS WHITE BREAD 600G,TES BAKERY,TES BREAD,TES BREAD ROLLS,TS,1.0,65.0,65,CD-382878,Female,18 -28,Friday
47,2008-07-26,298-01038,FRESH GINGER P/KG,FRUITS + VEG,VEGETABLES,TUBERS,FRESH,0.48743719,97.0,199,CD-283458,Female,29 -39,Saturday
48,2008-07-26,298-01033,NON WOOVEN PACKAGING BAG #25,WRAPPING MATERIAL,POLYTHENE BAGS,POLYTHENE BAGS -1,NON,1.0,15.0,15,CD-203882,Female,40 -50,Saturday
49,2008-07-26,298-01013,BIO NATURE PLAIN YOGHURT 200ML,DAIRY,YOGHURT,GREEK,BIO,1.0,132.0,155,CD-309183,Female,40 -50,Saturday
50,2008-07-27,298-01176,BROOKSIDE SWEET LALA BOTTLE 500ML,DAIRY,FERMENTED MILK,SWEETENED,BROOKSIDE,1.0,77.0,77,CD-356915,Female,29 -39,Sunday
51,2008-07-27,298-01126,MT.KENYA UHT MILK 500ML POUCH,DAIRY,LONGLIFE MILK,PLAIN,MT.KENYA,3.0,117.0,39,CD-431611,Female,29 -39,Sunday
52,2008-07-27,298-01263,ALWAYS ULTRA THIN LONG DUO 8*32,PERSONAL CARE,SANITARY,SANITARY TOWELS,ALWAYS,1.0,300.0,300,CD-336228,Female,40 -50,Sunday
53,2008-07-25,298-00921,JAMAA CREAM BAR SOAP 1KG,LAUNDRY,LAUNDRY BARS,LONG BARS,JAMAA,2.0,248.0,124,CD-233613,Male,29 -39,Friday
54,2008-07-27,298-01286,GRAPES SEEDLESS 500G RED,FRUITS + VEG,FRUITS,IMPORTED FRUIT,GRAPES,1.0,350.0,350,CD-724550,Female,40 -50,Sunday
55,2008-07-25,298-00985,AJAB HOME BAKING 2KG,FLOUR,WHEAT FLOUR,WHITE WHEAT FLOUR,AJAB,1.0,127.0,127,CD-769251,Male,29 -39,Friday
56,2008-07-26,298-01059,MT.KENYA UHT MILK 500ML POUCH,DAIRY,LONGLIFE MILK,PLAIN,MT.KENYA,2.0,78.0,39,CD-989663,Female,29 -39,Saturday
57,2008-07-27,298-01317,CONFINI STRAWBERRY MARMALADE 75G,CONFECTIONERY,CHEWY AND HARD,FRUITY,CONFINI,1.0,120.0,120,CD-667740,Female,40 -50,Sunday
58,2008-07-27,298-01142,SUNLIGHT LEMON S/POWDER 1KG,HOME CLEANING,ALL PURPOSE CLEANERS,SCOURING POWDERS,SUNLIGHT,1.0,114.0,135,CD-966516,Female,18 -28,Sunday
59,2008-07-25,298-00983,MAMA MAIZE MEAL 2KG,FLOUR,MAIZE FLOUR,STANDARD MAIZE FLOUR,MAMA,2.0,192.0,96,CD-252130,Male,18 -28,Friday
60,2008-07-21,298-00115,SUNLIGHT SPRING SENS.500G SAT,LAUNDRY,DETERGENTS,HANDWASH DETERGENTS,SUNLIGHT,1.0,140.0,140,CD-457610,Female,40 -50,Monday
61,2008-07-25,298-01006,KENSALT 1KG,FOOD ADDITIVES,SEASONINGS,SALT,KENSALT,1.0,30.0,30,CD-109777,Male,29 -39,Friday
62,2008-07-27,298-01334,F/CHOICE P/SAUSAGES V/PACK 1KG,MEAT PRODUCTS,SAUSAGES,FRESH SAUSAGES,F/CHOICE,1.0,672.0,672,CD-028669,Female,18 -28,Sunday
63,2008-07-27,298-01235,QUEEN'S HONEY 330G SQZ,BREAKFAST,SPREADS,HONEY,QUEEN'S,1.0,250.0,250,CD-211209,Male,18 -28,Sunday
64,2008-07-27,298-01283,BLUE BAND MEDIUM FAT 500G,BREAKFAST,SPREADS,MARGARINE,BLUE,1.0,220.0,220,CD-276789,Male,29 -39,Sunday
65,2008-07-27,298-01210,K.C.C SALTED BUTTER 250G TUB,DAIRY,BUTTER,SALTED,K.C.C,1.0,350.0,459,CD-168328,Male,51 -61,Sunday
66,2008-07-27,298-01192,ARIMIS MILKING SALVE 90GM,BEAUTY,BODY CARE,JELLIES,ARIMIS,1.0,43.0,43,CD-667934,Male,51 -61,Sunday
67,2008-07-27,298-01142,EXCEL RAHA COCOA JAR 200GM,HOT BEVERAGE,OTHER HOT BEVERAGE,COCOA,EXCEL,1.0,255.0,255,CD-966516,Female,18 -28,Sunday
68,2008-07-27,298-01248,TING TING COLA BUBBLE GUM,CONFECTIONERY,GUM AND MINT,FRUITY GUM,TING,2.0,10.0,5,CD-202980,Male,18 -28,Sunday
69,2008-07-27,298-01352,PEARL MASOOR DAAL/KAMANDE 1KG,CEREALS & PULSES,PEAS & LENTILS,SPLIT RED LENTILS,PEARL,2.0,506.0,253,CD-822794,Male,29 -39,Sunday
70,2008-07-27,298-01241,TOP FRY VEGETABLE OIL 3LTR,FATS & OILS,VEGETABLE OIL,VEGETABLE OIL-1,TOP,1.0,759.0,759,CD-359519,Male,29 -39,Sunday
71,2008-07-26,298-01038,ORANGE IMPORTED,FRUITS + VEG,FRUITS,IMPORTED FRUIT,ORANGE,2.0,70.0,35,CD-283458,Female,29 -39,Saturday
72,2008-07-27,298-01334,NIVEA B&W CLEAR WOMEN R/ON 50ML,PERSONAL CARE,DEODORANTS & ANTI-PERSPARANTS,ROLL-ONS,NIVEA,1.0,266.0,355,CD-028669,Female,18 -28,Sunday
73,2008-07-27,298-01253,CADBURY COCOA 90GM JAR,HOT BEVERAGE,OTHER HOT BEVERAGE,COCOA,CADBURY,1.0,169.0,169,CD-228026,Female,29 -39,Sunday
74,2008-07-27,298-01292,FESTIVE MILKY LOAF 400GM,CONFECTIONARY,BREAD,BREAD ROLLS,FESTIVE,1.0,50.0,50,CD-33322,Male,29 -39,Sunday
75,2008-07-26,298-01015,COLGATE HERBAL T/PASTE 140G,PERSONAL CARE,ORAL CARE,TOOTH PASTE,COLGATE,1.0,211.0,211,CD-822352,Female,40 -50,Saturday
76,2008-07-25,298-00941,ZENTA SOAP CREAM 700G,LAUNDRY,LAUNDRY BARS,LONG BARS,ZENTA,1.0,90.0,90,CD-784691,Female,40 -50,Friday
77,2008-07-25,298-00919,BROOKSIDE DAIRYBEST MILK 500ML,DAIRY,LONGLIFE MILK,PLAIN,BROOKSIDE,6.0,288.0,48,CD-382878,Female,18 -28,Friday
78,2008-07-27,298-01270,GEISHA WHITE SOAP 125GM,PERSONAL CARE,PERSONAL WASH,FAMILY SOAPS,GEISHA,1.0,50.0,50,CD-284726,Female,62 -72,Sunday
79,2008-07-25,298-00977,SLEEPING BABY PERF JELLY 100G,BABY PRODUCTS,BABY SKIN CARE,BABY JELLIES,SLEEPING,1.0,79.0,79,CD-788122,Female,18 -28,Friday
80,2008-07-27,298-01200,RHINO KUBWA MATCH BOX - 10 S,HOUSEHOLD ESSENTIALS,GAS + HEATING ACCESSORIES,FIRE LIGHTERS AND MATCHES,RHINO,1.0,42.0,42,CD-215083,Female,18 -28,Sunday
81,2008-07-27,298-01356,PERSIL LAVENDER 1KG,LAUNDRY,DETERGENTS,HANDWASH DETERGENTS,PERSIL,1.0,270.0,270,CD-254997,Male,51 -61,Sunday
82,2008-07-27,298-01156,NON WOOVEN PACKAGING BAG #25,WRAPPING MATERIAL,POLYTHENE BAGS,POLYTHENE BAGS -1,NON,2.0,30.0,15,CD-201447,Female,18 -28,Sunday
83,2008-07-27,298-01269,NON WOOVEN PACKAGING BAG #25,WRAPPING MATERIAL,POLYTHENE BAGS,POLYTHENE BAGS -1,NON,1.0,15.0,15,CD-207673,Female,40 -50,Sunday
84,2008-07-25,298-01006,COLGATE VAP D/ACTION TWIN PACK,PERSONAL CARE,ORAL CARE,TOOTH BRUSHES,COLGATE,1.0,85.0,85,CD-109777,Male,29 -39,Friday
85,2008-07-25,298-01004,TS PREMIUM BLACK FOREST SLICE,TES BAKERY,TES CAKE SLICES,DECORATED CAKE SLICES,TS,1.0,200.0,200,CD-349149,Male,29 -39,Friday
86,2008-07-26,298-01015,AMARA BODY MILK LTN 400ML,BEAUTY,BODY CARE,SKIN LOTIONS,AMARA,1.0,112.0,140,CD-822352,Female,40 -50,Saturday
87,2008-07-27,298-01135,MINUTE MAID APPLE PET 1L,COLD BEVERAGE,JUICE,RTD FRUIT JUICE,MINUTE,1.0,111.0,130,CD-698608,Male,29 -39,Sunday
88,2008-07-27,298-01352,MANAGU BUNCH,FRUITS + VEG,VEGETABLES,LEAFY GREENS,MANAGU,1.0,30.0,30,CD-822794,Male,29 -39,Sunday
89,2008-07-27,298-01357,CLASSIC TOILET BRUSH+BOWL B325,KITCHEN AND DINING,KITCHENWARES,KITCHEN UTENSILS,CLASSIC,1.0,125.0,125,CD-814593,Male,18 -28,Sunday
90,2008-07-27,298-01200,DAMSAR ANGEL FACE C/BUDS 100'S,PERSONAL CARE,COTTON WOOL & BUDS,COTTON BUDS,DAMSAR,1.0,66.0,66,CD-215083,Female,18 -28,Sunday
91,2008-07-27,298-01105,SUNRICE BASMATI RICE 2KG,RICE,BASMATI RICE,BASMATI RICE-1,SUNRICE,1.0,455.0,455,CD-423317,Male,29 -39,Sunday
92,2008-07-27,298-01274,PRESTIGE MARGARINE(ORIGINAL)500G,BREAKFAST,SPREADS,MARGARINE,PRESTIGE,1.0,190.0,190,CD-948378,Female,40 -50,Sunday
93,2008-07-26,298-01080,TS QUEEN CAKE 6PC 360GM,TES BAKERY,TES QUEEN CAKES / MUFFINS,QUEEN MUFFINS,TS,1.0,79.0,79,CD-164284,Female,18 -28,Saturday
94,2008-07-26,298-01057,LURON OCEAN BREEZE R/ON 50ML,PERSONAL CARE,DEODORANTS & ANTI-PERSPARANTS,ROLL-ONS,LURON,1.0,120.0,120,CD-754945,Female,18 -28,Saturday
95,2008-07-21,298-00104,PRIDE LEMON D/WASH PASTE 400G,HOME CLEANING,DISH WASHING,DISH WASHING PASTE,PRIDE,1.0,194.0,194,CD-343213,Female,29 -39,Monday
96,2008-07-25,298-00983,MELVINS MASALA TEA 100GM,HOT BEVERAGE,TEA,LOOSE TEA,MELVINS,1.0,70.0,70,CD-252130,Male,18 -28,Friday
97,2008-07-21,298-00101,ILARA FRESH MILK 500ML-POUCH,DAIRY,FRESH MILK,COW,ILARA,20.0,1000.0,50,CD-515458,Male,29 -39,Monday
98,2008-07-27,298-01352,O/POINT LAN M/CLIP SILK OP 2CM,STATIONERY,OFFICE STATIONERY,OFFICE SUPPLIES,O/POINT,1.0,56.0,56,CD-822794,Male,29 -39,Sunday
99,2008-07-21,298-00111,TOILEX WHITE T/PAPER 4PACK,PAPER + PLASTICS,TISSUE PAPERS,BLENDED,TOILEX,1.0,100.0,110,CD-377755,Male,29 -39,Monday
100,2008-07-25,298-00942,INDOMIE INSTANT NOODLES 5PC,PASTA + NOODLES,NOODLES,WHEAT NOODLES,INDOMIE,1.0,98.0,98,CD-034763,Female,29 -39,Friday
101,2008-07-27,298-01329,NATURES WAY SEA SALT 250GM,FOOD ADDITIVES,SEASONINGS,SALT,NATURES,1.0,100.0,100,CD-206457,Female,40 -50,Sunday
102,2008-07-27,298-01356,WATERMELON P/KG,FRUITS + VEG,FRUITS,LOCAL FRUITS,WATERMELON,1.65822785,131.0,79,CD-254997,Male,51 -61,Sunday
103,2008-07-27,298-01308,ARIEL TOUCH OF DOWNY 1KG,LAUNDRY,DETERGENTS,HANDWASH DETERGENTS,ARIEL,1.0,282.0,282,CD-611584,Male,29 -39,Sunday
104,2008-07-27,298-01352,TERERE BUNCH,FRUITS + VEG,VEGETABLES,LEAFY GREENS,TERERE,1.0,30.0,30,CD-822794,Male,29 -39,Sunday
105,2008-07-27,298-01356,ELIANTO COOKING OIL 5LTR,FATS & OILS,CORN OIL,CORN OIL-1,ELIANTO,1.0,1652.0,1652,CD-254997,Male,51 -61,Sunday
106,2008-07-27,298-01228,TS PICNIC BITES 200GM,TES BAKERY,TES MANDAZI,TES MINI MANDAZI,TS,2.0,70.0,35,CD-558708,Female,40 -50,Sunday
107,2008-07-27,298-01253,NON WOOVEN PACKAGING BAG #22,WRAPPING MATERIAL,POLYTHENE BAGS,POLYTHENE BAGS -1,NON,1.0,10.0,10,CD-228026,Female,29 -39,Sunday
108,2008-07-25,298-00981,KRACKLES BARBEQUE TOONS 30G,SNACKS,CRISPS,FOIL PACK CRISPS,KRACKLES,1.0,51.0,51,CD-097291,Male,29 -39,Friday
109,2008-07-27,298-01156,FLAMINGO LEMON EXTRACT 3*90G,PERSONAL CARE,PERSONAL WASH,FAMILY SOAPS,FLAMINGO,2.0,170.0,85,CD-201447,Female,18 -28,Sunday
110,2008-07-26,298-01084,MT.KENYA UHT MILK 500ML POUCH,DAIRY,LONGLIFE MILK,PLAIN,MT.KENYA,4.0,156.0,39,CD-173298,Male,29 -39,Saturday
111,2008-07-27,298-01143,DAIMA VANILLA YOGHURT 150ML,DAIRY,YOGHURT,BASIC,DAIMA,12.0,564.0,47,CD-358161,Male,40 -50,Sunday
112,2008-07-21,298-00111,KENSALT 1KG,FOOD ADDITIVES,SEASONINGS,SALT,KENSALT,1.0,30.0,30,CD-377755,Male,29 -39,Monday
113,2008-07-27,298-01293,NIVEA FRESH NATURAL R/ON 50ML,PERSONAL CARE,DEODORANTS & ANTI-PERSPARANTS,ROLL-ONS,NIVEA,1.0,236.0,315,CD-023966,Female,29 -39,Sunday
114,2008-07-25,298-00911,INDOMIE NOODLE FRIED 400G,PASTA + NOODLES,NOODLES,WHEAT NOODLES,INDOMIE,1.0,150.0,150,CD-028669,Female,18 -28,Friday
115,2008-07-27,298-01235,DELAMERE LEMON BISC. F/YGHT 250ML C,DAIRY,YOGHURT,PREMIUM,DELAMERE,1.0,67.0,67,CD-211209,Male,18 -28,Sunday
116,2008-07-27,298-01232,MOLFIX DAY&NIGHT 10*10,BABY PRODUCTS,BABY HYGIENE,BABY DIAPERS,MOLFIX,1.0,199.0,199,CD-694608,Female,40 -50,Sunday
117,2008-07-27,298-01317,MILLBAKERS LEMON SLICES 150GM,CONFECTIONARY,CAKE SLICES,CAKE SLICES-1,MILLBAKERS,2.0,98.0,49,CD-667740,Female,40 -50,Sunday
118,2008-07-27,298-01263,MINIMAX WATER BOTTLE B1276 600ML,KITCHEN AND DINING,KITCHENWARES,STORAGE,MINIMAX,1.0,372.0,372,CD-336228,Female,40 -50,Sunday
119,2008-07-27,298-01227,KOTEX ULTRATHIN NIGHT TIME 7S,PERSONAL CARE,SANITARY,SANITARY TOWELS,KOTEX,2.0,130.0,90,CD-681028,Female,29 -39,Sunday
120,2008-07-25,298-00981,TROPICAL H/SALT&VINEGAR CRISPS 50G,SNACKS,CRISPS,CLEAR PACK CRISPS,TROPICAL,1.0,45.0,45,CD-097291,Male,29 -39,Friday
121,2008-07-27,298-01269,IL INTENSE COOL B/LTN 200ML+50ML,BEAUTY,BODY CARE,SKIN LOTIONS,IL,1.0,205.0,235,CD-207673,Female,40 -50,Sunday
122,2008-07-21,298-00099,CUSSONS BABY S&S POWDER 50G,BABY PRODUCTS,BABY SKIN CARE,BABY POWDERS,CUSSONS,1.0,95.0,95,CD-950228,Female,51 -61,Monday
123,2008-07-27,298-01297,PASCHA FINO 500ML,DAIRY,LONGLIFE MILK,PLAIN,PASCHA,6.0,234.0,39,CD-309218,Female,18 -28,Sunday
124,2008-07-21,298-00105,RHINO NDOGO MATCH BOX - 10 S,HOUSEHOLD ESSENTIALS,GAS + HEATING ACCESSORIES,FIRE LIGHTERS AND MATCHES,RHINO,1.0,32.0,32,CD-431135,Male,73 -83,Monday
125,2008-07-27,298-01176,SOFTCARE BABY WIPES 80PCS,BABY PRODUCTS,BABY HYGIENE,BABY WIPES,SOFTCARE,2.0,198.0,99,CD-356915,Female,29 -39,Sunday
126,2008-07-27,298-01328,GEISHA ALOE VERA & HONEY 125G,PERSONAL CARE,PERSONAL WASH,FAMILY SOAPS,GEISHA,3.0,150.0,50,CD-784784,Female,29 -39,Sunday
127,2008-07-27,298-01352,INDOMIE INSTANT NOODLES 5PC,PASTA + NOODLES,NOODLES,WHEAT NOODLES,INDOMIE,4.0,392.0,98,CD-822794,Male,29 -39,Sunday
128,2008-07-27,298-01292,INDOMIE INSTANT NOODLES 5PC,PASTA + NOODLES,NOODLES,WHEAT NOODLES,INDOMIE,1.0,98.0,98,CD-33322,Male,29 -39,Sunday
129,2008-07-27,298-01241,HARPIC POWER PLUS ORIG 1LTR,HOME CLEANING,TOILET + SEPTIC CARE,LIQUID TOILET CLEANERS,HARPIC,1.0,450.0,546,CD-359519,Male,29 -39,Sunday
130,2008-07-21,298-00086,SPINACH BUNCH,FRUITS + VEG,VEGETABLES,LEAFY GREENS,SPINACH,2.0,60.0,30,CD-143180,Male,40 -50,Monday
131,2008-07-26,298-01032,MT.KENYA UHT MILK 500ML POUCH,DAIRY,LONGLIFE MILK,PLAIN,MT.KENYA,1.0,39.0,39,CD-227601,Female,40 -50,Saturday
132,2008-07-25,298-00983,ACACIA HONEY P/KG,BREAKFAST,SPREADS,HONEY,ACACIA,0.369748,220.0,595,CD-252130,Male,18 -28,Friday
133,2008-07-25,298-01004,INDOMIE INSTANT NOODLES 5PC,PASTA + NOODLES,NOODLES,WHEAT NOODLES,INDOMIE,1.0,98.0,98,CD-349149,Male,29 -39,Friday
134,2008-07-27,298-01250,NON WOOVEN PACKAGING BAG #22,WRAPPING MATERIAL,POLYTHENE BAGS,POLYTHENE BAGS -1,NON,1.0,10.0,10,CD-945428,Male,40 -50,Sunday
135,2008-07-26,298-01037,O/POINT SHARPENER P/ROUND,STATIONERY,SCHOOL STATIONERY,SCHOOL SUPPLIES,O/POINT,2.0,20.0,10,CD-690239,Male,18 -28,Saturday
136,2008-07-27,298-01113,SUPERFINE TRIANGULAR PENCIL,STATIONERY,SCHOOL STATIONERY,PENS + INKS,SUPERFINE,2.0,36.0,18,CD-220747,Male,40 -50,Sunday
137,2008-07-27,298-01210,KETEPA ECONOMY T/BAGS 50S UNT,HOT BEVERAGE,TEA,TEA BAGS,KETEPA,1.0,105.0,105,CD-168328,Male,51 -61,Sunday
138,2008-07-27,298-01317,BIC FINE POINT BLACK BALL PEN,STATIONERY,SCHOOL STATIONERY,PENS + INKS,BIC,5.0,105.0,21,CD-667740,Female,40 -50,Sunday
139,2008-07-26,298-01084,KENPOLY DRUM # 60,HOMECARE ACCESSORIES,CLEANING,STORAGE -TANKS,KENPOLY,1.0,735.0,735,CD-173298,Male,29 -39,Saturday
140,2008-07-27,298-01126,KITUI DOLA MAIZE MEAL 2KG,FLOUR,MAIZE FLOUR,STANDARD MAIZE FLOUR,KITUI,1.0,95.0,95,CD-431611,Female,29 -39,Sunday
141,2008-07-25,298-00948,CADBURY DRINK CHOCO 225G JAR,HOT BEVERAGE,OTHER HOT BEVERAGE,DRINKING CHOCOLATE,CADBURY,1.0,240.0,240,CD-599332,Male,40 -50,Friday
